Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type,latitude,longitude
,TM0478,604000,278000,,England,10.0,4,2012,2015,WCBS,52.362071,0.99463432
,NB3315,133000,915000,,Scotland,10.0,2,2012,2013,WCBS,58.043493,-6.5261679
,TQ2974,529000,174000,,England,10.0,3,2012,2014,WCBS,51.450299,-0.14494277
,NJ0631,306000,831000,,Scotland,10.0,7,2012,2018,WCBS,57.359743,-3.564168
,ST9235,392000,135000,,England,10.0,6,2012,2020,WCBS,51.114234,-2.1156652
,NT5151,351000,651000,,Scotland,10.0,1,2012,2012,WCBS,55.749877,-2.7821804
,C9742,115353,600399,,Northern Ireland,10.0,8,2013,2020,WCBS,55.215523,-6.4768106
,D1312,128725,569124,,Northern Ireland,10.0,1,2013,2013,WCBS,54.942783,-6.237452
,H5453,64861,515344,,Northern Ireland,10.0,3,2013,2015,WCBS,54.422707,-7.1688507
,J1653,126676,510062,,Northern Ireland,10.0,8,2013,2020,WCBS,54.412351,-6.2140703
,J4246,151992,500874,,Northern Ireland,10.0,3,2013,2015,WCBS,54.342933,-5.817239
,J4547,155066,501615,,Northern Ireland,10.0,3,2013,2015,WCBS,54.351063,-5.7706671
,NA9924,99000,924000,,Scotland,10.0,1,2013,2013,WCBS,58.102269,-7.1113696
,ND0665,306000,965000,,Scotland,10.0,5,2012,2018,WCBS,58.562846,-3.617469
,ND2490,324000,990000,,Scotland,10.0,1,2013,2013,WCBS,58.79083,-3.3166095
,ND2496,324000,996000,,Scotland,10.0,1,2013,2013,WCBS,58.844699,-3.3186535
,NN8623,286000,723000,,Scotland,10.0,3,2013,2015,WCBS,56.385484,-3.8479518
,NO2306,323000,706000,,Scotland,10.0,2,2013,2015,WCBS,56.240271,-3.2439206
,NS3365,233000,665000,,Scotland,10.0,1,2013,2013,WCBS,55.849203,-4.669136
,NS3855,238000,655000,,Scotland,10.0,3,2013,2015,WCBS,55.76115,-4.5834065
,NS6773,267000,673000,,Scotland,10.0,3,2013,2015,WCBS,55.931611,-4.1304477
,NS8996,289000,696000,,Scotland,10.0,8,2013,2020,WCBS,56.143742,-3.7880429
,NT0088,300000,688000,,Scotland,10.0,4,2013,2019,WCBS,56.074329,-3.60809
,NT2466,324000,666000,,Scotland,10.0,7,2013,2020,WCBS,55.88113,-3.2164222
,NT5271,352000,671000,,Scotland,10.0,3,2013,2017,WCBS,55.92966,-2.7697944
,NT6027,360000,627000,,Scotland,10.0,5,2013,2017,WCBS,55.535075,-2.6353124
,NX3656,236000,556000,,Scotland,10.0,1,2009,2009,WCBS,54.8718,-4.5573565
,NY7906,379000,506000,,England,10.0,6,2013,2020,WCBS,54.448958,-2.3253629
,NZ2159,421000,559000,,England,10.0,8,2013,2020,WCBS,54.925251,-1.6738612
,SD2708,327000,408000,,England,10.0,5,2013,2019,WCBS,53.563515,-3.1036231
,SD9842,398000,442000,,England,10.0,6,2013,2020,WCBS,53.874199,-2.0319031
,SE5189,451000,489000,,England,10.0,3,2013,2016,WCBS,54.294083,-1.217947
,SE5245,452000,445000,,England,10.0,7,2013,2020,WCBS,53.89857,-1.2101307
,SE7636,476000,436000,,England,10.0,3,2013,2016,WCBS,53.814739,-0.84718341
,SE8650,486000,450000,,England,10.0,2,2013,2014,WCBS,53.93898,-0.69142154
,SH3964,239000,364000,,Wales,10.0,3,2013,2017,WCBS,53.14874,-4.4088966
,SH4574,245000,374000,,Wales,10.0,2,2013,2019,WCBS,53.240335,-4.3241158
,SH7205,272000,305000,,Wales,10.0,8,2013,2020,WCBS,52.62762,-3.8925446
,SJ0714,307000,314000,,Wales,10.0,4,2013,2019,WCBS,52.715636,-3.3781809
,SJ0830,308000,330000,,Wales,10.0,1,2013,2013,WCBS,52.859598,-3.3678856
,SJ0877,308000,377000,,Wales,10.0,2,2013,2014,WCBS,53.281962,-3.3813398
,SJ1958,319000,358000,,Wales,10.0,2,2013,2014,WCBS,53.113009,-3.2115718
,SJ2077,320000,377000,,Wales,10.0,3,2013,2020,WCBS,53.283911,-3.2014021
,SJ3039,330000,339000,,Wales,10.0,1,2013,2013,WCBS,52.943803,-3.0431374
